timestamp,adservice_running,adservice_paused,cartservice_running,cartservice_paused,checkoutservice_running,checkoutservice_paused,currencyservice_running,currencyservice_paused,emailservice_running,emailservice_paused,paymentservice_running,paymentservice_paused,frontend_running,frontend_paused,productcatalogservice_running,productcatalogservice_paused,recommendationservice_running,recommendationservice_paused,shippingservice_running,shippingservice_paused,optimize_flag,pause_flag
2025-05-03T20:34:12.266477,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:34:32.544865,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:34:52.773014,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:35:12.958792,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:35:33.122863,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:35:53.309805,1,0,1,0,1,0,1,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-05-03T20:36:13.442367,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:36:33.667246,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:36:53.851956,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:37:14.127466,2,0,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-05-03T20:37:34.322579,2,0,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-05-03T20:37:54.489734,2,0,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-05-03T20:38:14.630664,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:38:34.926946,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:38:55.118690,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:39:15.377761,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:39:35.587680,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:39:55.772148,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-05-03T20:40:15.949878,3,0,3,0,3,0,3,0,4,0,4,0,4,0,3,0,3,0,3,0,0,0
2025-05-03T20:40:36.158714,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:40:56.363200,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:41:16.541000,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:41:36.709402,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:41:56.928147,3,0,3,0,3,0,3,0,2,0,2,0,2,0,3,0,3,0,3,0,0,0
2025-05-03T20:42:17.095217,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:42:37.281911,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:42:57.536846,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:43:17.707490,2,0,2,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:43:37.905753,2,0,1,0,2,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:43:58.077699,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:44:18.215788,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,0,5,0,4,0,0,0
2025-05-03T20:44:38.729649,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:44:58.895223,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:45:19.092668,1,0,1,0,1,0,1,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:45:39.231192,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,3,0,0,0
2025-05-03T20:45:59.388642,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,3,0,0,0
2025-05-03T20:46:19.588077,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:46:39.774636,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:46:59.952172,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:47:20.165630,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:47:40.346240,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,3,0,0,0
2025-05-03T20:48:00.561258,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,3,0,0,0
2025-05-03T20:48:20.731779,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:48:40.898791,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:49:01.109695,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,0,0
2025-05-03T20:49:21.250102,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,0,0
2025-05-03T20:49:41.439715,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,0,0
2025-05-03T20:50:01.577598,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,0,0
2025-05-03T20:50:21.716363,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:50:41.938690,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:51:02.119033,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:51:22.300263,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:51:42.511769,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:52:02.684789,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:52:22.900162,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:52:43.064882,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
2025-05-03T20:53:03.242052,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-05-03T20:53:23.445673,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,0
2025-05-03T20:53:43.624652,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-05-03T20:54:03.734965,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0
2025-05-03T20:54:23.888959,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0
